"x2","x3","x4","x5","x6","x7","x10","x11","x12","x13","x14","x1.1","x1.2","x1.3","x8.1","x8.2","x8.3","x8.4","x8.5","x8.6","x9.1","x9.2","x9.3","x9.4","x9.5","y"
1,0,0,0,100,1,120,54.2,1258,1470,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,8998
1,0,0,0,234,1,138,38.8,310.3,882,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,2825
0,1,0,0,110,2,120,45,742.6,1176,4,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2996
0,0,1,0,148,1,130,58.2,813.6,1043,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,5707
1,0,0,0,171,1,120,33,299.1,1037,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,3321
0,0,1,0,246,1,130,65,1162,1433,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,7407
1,0,0,0,45,1,130,42,376.9,588,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,3240
0,0,1,0,206,1,120,60,940.5,1471,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,6800
0,1,0,0,187,1,120,29,252.3,588,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1000
1,0,0,0,66,1,130,42,376.9,588,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,7020
0,1,0,0,45,1,120,47,465.9,1065,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,7250
0,0,1,0,267,1,120,60,940.5,1471,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1470
0,1,0,0,246,1,130,53.6,924.3,919,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,6400
1,0,0,0,102,1,120,54.2,1258,1470,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,5401
1,0,0,0,96,1,120,64.8,996,1470,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,8060
0,1,0,0,58,1,120,42.7,338.9,588,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,3254
0,1,0,0,148,1,140,61.2,916.3,478,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,2000
0,0,0,1,286,1,120,84.9,2382,2648,4,0,0,1,0,0,0,0,1,0,0,0,0,1,0,8500
1,0,0,0,39,1,130,64.8,970.2,1341,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,5160
0,0,1,0,89,1,135,80.3,1598,2207,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,8250
0,0,1,0,276,1,140,52.8,491.4,1212,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,2694
0,1,0,0,132,1,140,60.3,896.7,883,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1775
0,1,0,0,62,1,120,45,742.6,1176,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1700
1,0,0,0,251,1,138,38.8,310.3,882,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1775
1,0,0,0,168,1,120,42,376.9,588,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,5020
0,0,1,0,95,1,120,29,264.4,698,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,3565
0,1,0,0,33,2,125,46,664.9,1877,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,900
0,1,0,0,79,1,120,45,742.6,1176,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,892
1,0,0,0,245,1,120,45,539.6,882,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,3590
1,0,0,0,52,1,130,42,376.9,588,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,4880
0,0,1,0,57,1,130,42,376.9,588,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,4940
0,0,1,0,46,1,120,42.7,338.9,588,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,3743
0,0,0,1,129,1,130,71.1,1256,699,2,0,0,1,1,0,0,0,0,0,0,1,0,0,0,3240
0,0,1,0,152,2,120,43.1,494.5,845,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
1,0,0,0,28,1,130,42,376.9,588,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,3080
1,0,0,0,130,1,130,40.5,438.6,882,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,2970
0,0,1,0,227,1,130,65,1162,1433,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,8198
1,0,0,0,230,1,140,37.7,415.7,882,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,2960
0,0,1,0,273,1,130,64.6,811.5,1471,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,4420
1,0,0,0,264,1,140,37.7,415.7,882,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,3294
0,1,0,0,97,1,130,65,1162,1433,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,2079
0,1,0,0,97,1,130,45,742.6,1176,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1420
0,0,1,0,313,1,120,39.5,372.5,735,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,3324
0,0,1,0,50,1,130,38.8,310.3,882,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,3365
1,0,0,0,23,1,130,42,376.9,588,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,7160
0,0,1,0,48,1,130,42,376.9,588,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,5380
0,0,1,0,279,1,120,84.9,2382,2648,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,7800
0,0,1,0,138,1,120,38.3,360,588,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,8055
0,1,0,0,234,1,130,80.3,1598,2207,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,7700
0,0,1,0,153,1,120,43,358.1,588,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,7935
0,0,1,0,141,2,120,46,666.5,1139,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,16000
0,1,0,0,280,1,135,60,993.4,1433,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,3461
0,0,1,0,225,1,130,65,1162,1433,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,6367
1,0,0,0,146,1,125,56.6,705.6,1300,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,6685
0,1,0,0,287,1,140,61.2,916.3,478,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,755
0,1,0,0,292,1,140,29,252.3,588,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,5880
1,0,0,0,100,1,120,43,358.1,588,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,5304
