"","Time","Open","Low","Close","High","Volume","Target_Close","Time_in_minutes"
"1",2021-06-30 09:00:00,15.08,15.12,15.042,15.1,19483,15.0754,540
"2",2021-06-30 10:00:00,15.12,15.13,15.0754,15.09,18476,15.05,600
"3",2021-06-30 11:00:00,15.09,15.11,15.05,15.11,115051,15.07,660
"4",2021-06-30 12:00:00,15.0999,15.12,15.07,15.08,48994,15.09,720
"5",2021-06-30 13:00:00,15.1,15.14,15.09,15.14,26446,15.12,780
"6",2021-06-30 14:00:00,15.14,15.149,15.12,15.13,20763,15.13,840
"7",2021-06-30 15:00:00,15.15,15.19,15.13,15.14,79375,15.45,900
"8",2021-07-01 07:00:00,15.51,15.56,15.45,15.45,1693,15.2,420
"9",2021-07-01 08:00:00,15.45,15.65,15.2,15.2,5614,15.01,480
"10",2021-07-01 09:00:00,15.2,15.2,15.01,15.01,72379,14.9599,540
"11",2021-07-01 10:00:00,15.03,15.06,14.9599,14.9599,55319,14.84,600
"12",2021-07-01 11:00:00,14.955,14.955,14.84,14.91,31209,14.87,660
"13",2021-07-01 12:00:00,14.91,14.91,14.87,14.87,13406,14.87,720
"14",2021-07-01 13:00:00,14.87,14.92,14.87,14.89,16405,14.89,780
"15",2021-07-01 14:00:00,14.89,14.94,14.89,14.925,17326,14.8801,840
"16",2021-07-01 15:00:00,14.92,14.93,14.8801,14.91,21126,14.99,900
"17",2021-07-01 19:00:00,14.99,14.99,14.99,14.99,280,15.2,1140
"18",2021-07-02 04:00:00,15.63,15.64,15.2,15.63,5153,15.63,240
"19",2021-07-02 05:00:00,15.63,15.63,15.63,15.63,343,15.61,300
"20",2021-07-02 06:00:00,15.63,15.63,15.61,15.61,3462,15.22,360
"21",2021-07-02 07:00:00,15.64,15.65,15.22,15.33,7741,15,420
"22",2021-07-02 08:00:00,15.55,15.55,15,15.05,16313,14.95,480
"23",2021-07-02 09:00:00,15.05,15.15,14.95,14.97,134179,14.93,540
"24",2021-07-02 10:00:00,14.96,14.98,14.93,14.94,50713,14.93,600
"25",2021-07-02 11:00:00,14.94,14.98,14.93,14.97,19861,14.94,660
"26",2021-07-02 12:00:00,14.96,14.96,14.94,14.9416,40431,14.95,720
"27",2021-07-02 13:00:00,14.95,14.98,14.95,14.96,33994,14.96,780
"28",2021-07-02 14:00:00,14.97,14.98,14.96,14.96,16096,14.955,840
"29",2021-07-02 15:00:00,14.959,15,14.955,14.99,27688,15,900
"30",2021-07-02 17:00:00,15.03,15.03,15,15,10569,15.19,1020
"31",2021-07-06 04:00:00,15.5,15.5,15.19,15.49,13755,15.6,240
"32",2021-07-06 05:00:00,15.6,16,15.6,16,27569,15.5,300
